#MJD		B	Berr	I	Ierr	R	Rerr	U	Uerr	V	Verr	g	gerr	r	rerr
58608.30	n	n	n	n	n	n	n	n	n	n	n	n	15.783	0.029
58609.20	n	n	n	n	n	n	n	n	n	n	17.053	0.038	n	n
58612.25	n	n	n	n	n	n	n	n	n	n	17.124	0.047	15.846	0.03
58616.25	n	n	n	n	n	n	n	n	n	n	17.12	0.035	15.882	0.034
58618.20	n	n	n	n	n	n	n	n	n	n	n	n	15.882	0.028
58619.25	n	n	n	n	n	n	n	n	n	n	17.236	0.058	15.905	0.034
58622.20	n	n	n	n	n	n	n	n	n	n	17.237	0.065	n	n
58622.85	17.947	0.052	15.365	0.026	15.794	0.023	19.729	0.149	16.7	0.021	n	n	n	n
58628.25	n	n	n	n	n	n	n	n	n	n	17.273	0.047	15.984	0.032
58631.62	18.019	0.048	15.372	0.046	15.789	0.05	19.6	0.082	16.737	0.053	n	n	n	n
58633.27	n	n	n	n	n	n	n	n	n	n	17.371	0.049	16.031	0.039
58634.20	n	n	n	n	n	n	n	n	n	n	17.35	0.053	n	n
58636.30	n	n	n	n	n	n	n	n	n	n	17.359	0.046	n	n
58636.75	18.095	0.028	15.441	0.034	15.871	0.015	19.649	0.073	16.831	0.017	n	n	n	n
58637.20	n	n	n	n	n	n	n	n	n	n	17.367	0.05	16.073	0.029
58639.25	n	n	n	n	n	n	n	n	n	n	17.381	0.045	16.097	0.041
58640.20	n	n	n	n	n	n	n	n	n	n	17.423	0.04	16.114	0.037
58642.25	n	n	n	n	n	n	n	n	n	n	17.402	0.052	16.111	0.032
58643.20	n	n	n	n	n	n	n	n	n	n	17.424	0.038	16.121	0.027
58645.20	n	n	n	n	n	n	n	n	n	n	17.478	0.052	n	n
58646.20	n	n	n	n	n	n	n	n	n	n	17.477	0.056	16.183	0.041
58648.20	n	n	n	n	n	n	n	n	n	n	17.486	0.066	16.16	0.037
58649.20	n	n	n	n	n	n	n	n	n	n	17.511	0.058	16.177	0.04
58651.25	n	n	n	n	n	n	n	n	n	n	17.507	0.069	16.22	0.049
58652.30	n	n	n	n	n	n	n	n	n	n	n	n	16.206	0.036
58654.25	n	n	n	n	n	n	n	n	n	n	17.526	0.063	16.217	0.037
58655.20	n	n	n	n	n	n	n	n	n	n	17.552	0.056	16.233	0.034
58657.20	n	n	n	n	n	n	n	n	n	n	17.59	0.046	n	n
58658.20	n	n	n	n	n	n	n	n	n	n	17.585	0.049	n	n
58660.20	n	n	n	n	n	n	n	n	n	n	17.643	0.045	n	n
58661.20	n	n	n	n	n	n	n	n	n	n	17.596	0.047	16.274	0.033
58665.25	n	n	n	n	n	n	n	n	n	n	17.603	0.049	16.364	0.039
58667.20	n	n	n	n	n	n	n	n	n	n	17.686	0.05	16.34	0.035
