#MJD	U	Uerr	B	Berr	V	Verr	R	Rerr	I	Ierr	J	Jerr	H	Herr	K	Kerr
46965.24	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 1.15	 0.05
46965.67	 n	 n	 5.71	 0.05	 n	 n	 3.11	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46967.20	 n	 n	 n	 n	 n	 n	 n	 n 	 2.70	 0.05	 n	 n	 n	 n	 n	 n
46967.21	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 1.94	 0.05	 n	 n	 n	 n
46967.47	 n	 n	 n	 n	 4.12	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46970.70	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 1.66	 0.05	 n	 n
46971.48	 8.58	 0.05	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46972.47	 n	 n	 n	 n	 n	 n	 3.33	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46972.71	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 2.11	 0.05	 n	 n	 n	 n
46973.47	 n	 n	 n	 n	 4.31	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46975.67	 n	 n	 n	 n	 n	 n	 n	 n 	 2.86	 0.05	 n	 n	 n	 n	 n	 n
46978.21	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 2.21	 0.05	 n	 n	 n	 n
46978.49	 n	 n	 n	 n	 n	 n	 3.41	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46980.21	 n	 n	 n	 n	 4.36	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46980.71	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 1.49	 0.05
46981.20	 n	 n	 6.08	 0.05	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46983.21	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 1.85	 0.05	 n	 n
46984.67	 n	 n	 n	 n	 4.42	 0.05	 n	 n 	 2.98	 0.05	 n	 n	 n	 n	 n	 n
46985.68	 n	 n	 n	 n	 n	 n	 3.49	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46986.64	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 2.31	 0.05	 n	 n	 n	 n
46989.66	 n	 n	 n	 n	 4.45	 0.05	 3.50	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46991.68	 8.69	 0.05	 n	 n	 n	 n	 n	 n 	 3.03	 0.05	 n	 n	 n	 n	 n	 n
46997.66	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 2.43	 0.05	 n	 n	 n	 n
46997.68	 n	 n	 6.23	 0.05	 n	 n	 3.60	 0.05 	 3.10	 0.05	 n	 n	 n	 n	 n	 n
46998.66	 n	 n	 n	 n	 4.58	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
47000.59	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 1.74	 0.05
