#MJD	U	Uerr	B	Berr	V	Verr	R	Rerr	I	Ierr	J	Jerr	H	Herr	K	Kerr
46965.21	 n	 n	 5.67	 0.05	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46965.24	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 1.87	 0.05	 n	 n	 n	 n
46966.20	 n	 n	 n	 n	 n	 n	 n	 n 	 2.68	 0.05	 n	 n	 n	 n	 n	 n
46966.48	 8.32	 0.05	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46967.21	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 1.55	 0.05	 n	 n
46970.67	 n	 n	 n	 n	 4.21	 0.05	 3.31	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46972.71	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 2.11	 0.05	 n	 n	 n	 n
46975.67	 n	 n	 n	 n	 n	 n	 n	 n 	 2.86	 0.05	 n	 n	 n	 n	 n	 n
46975.71	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 1.43	 0.05
46978.19	 n	 n	 n	 n	 4.36	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46978.21	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 1.80	 0.05	 n	 n
46978.49	 n	 n	 n	 n	 n	 n	 3.41	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46981.92	 n	 n	 6.13	 0.05	 n	 n	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46983.20	 8.63	 0.05	 n	 n	 n	 n	 n	 n 	 2.96	 0.05	 n	 n	 n	 n	 n	 n
46984.67	 n	 n	 n	 n	 n	 n	 3.48	 0.05 	 n	 n	 n	 n	 n	 n	 n	 n
46985.64	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 2.28	 0.05	 n	 n	 n	 n
46986.69	 n	 n	 n	 n	 4.45	 0.05	 n	 n 	 n	 n	 n	 n	 n	 n	 n	 n
46989.63	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 2.33	 0.05	 1.96	 0.05	 1.61	 0.05
46989.66	 n	 n	 n	 n	 n	 n	 n	 n 	 3.02	 0.05	 n	 n	 n	 n	 n	 n
46997.66	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 2.43	 0.05	 n	 n	 n	 n
46997.68	 n	 n	 6.23	 0.05	 4.56	 0.05	 3.60	 0.05 	 3.10	 0.05	 n	 n	 n	 n	 n	 n
47000.59	 n	 n	 n	 n	 n	 n	 n	 n 	 n	 n	 n	 n	 2.11	 0.05	 n	 n
