# ph	T_bb	err	R_bb	err	L_bb	err

136.98	3.73e+03	1.34e+02	1.26e+15	1.86e+14	2.21e+41	7.23e+40
136.99	3.73e+03	1.32e+02	1.26e+15	1.82e+14	2.20e+41	7.07e+40
138.15	3.62e+03	1.44e+02	1.48e+15	2.17e+14	2.68e+41	8.92e+40
138.97	3.67e+03	1.39e+02	1.34e+15	2.04e+14	2.33e+41	7.90e+40
143.93	3.75e+03	1.63e+02	1.20e+15	1.96e+14	2.04e+41	7.54e+40
145.95	3.73e+03	2.13e+02	1.30e+15	2.64e+14	2.32e+41	1.08e+41
149.15	3.70e+03	1.37e+02	1.30e+15	1.73e+14	2.24e+41	6.85e+40
149.21	3.73e+03	1.28e+02	1.26e+15	1.56e+14	2.18e+41	6.18e+40
151.20	3.89e+03	7.01e+01	1.03e+15	7.01e+13	1.73e+41	2.66e+40
155.02	3.94e+03	9.97e+01	9.78e+14	7.80e+13	1.64e+41	3.10e+40
158.15	3.95e+03	2.49e+02	9.81e+14	1.79e+14	1.67e+41	7.43e+40
160.07	3.94e+03	1.94e+02	9.55e+14	1.34e+14	1.57e+41	5.39e+40
161.10	3.94e+03	1.91e+02	9.53e+14	1.30e+14	1.55e+41	5.21e+40
161.20	3.93e+03	1.63e+02	9.52e+14	1.11e+14	1.54e+41	4.42e+40
175.77	3.62e+03	1.96e+02	1.19e+15	2.35e+14	1.73e+41	7.81e+40
180.03	3.86e+03	1.78e+02	9.18e+14	1.16e+14	1.33e+41	4.15e+40
197.64	3.46e+03	2.44e+02	1.23e+15	3.35e+14	1.55e+41	9.47e+40
208.54	3.61e+03	2.32e+02	1.01e+15	2.38e+14	1.23e+41	6.61e+40
222.44	4.26e+03	3.35e+02	5.47e+14	1.34e+14	7.02e+40	4.09e+40
230.36	4.08e+03	2.05e+02	6.51e+14	1.04e+14	8.34e+40	3.14e+40
238.33	4.50e+03	2.95e+02	4.27e+14	8.29e+13	5.35e+40	2.50e+40
245.29	4.52e+03	2.73e+02	4.13e+14	7.36e+13	5.07e+40	2.18e+40
320.16	4.25e+03	2.68e+02	3.90e+14	7.70e+13	3.54e+40	1.66e+40
374.73	4.32e+03	3.23e+02	2.85e+14	6.57e+13	2.00e+40	1.10e+40
385.75	4.83e+03	4.47e+02	2.08e+14	4.18e+13	1.68e+40	9.17e+39
416.37	4.74e+03	2.11e+02	1.83e+14	2.29e+13	1.20e+40	3.70e+39
450.08	6.39e+03	4.99e+02	7.62e+13	1.26e+13	6.88e+39	3.13e+39
