#MJD		U	errU	B	errB	V	errV	R	errR	I	errI	
46849.94	n	n	n	n	5.94	0.05	n	n	n	n
46925.25	7.05	0.05	4.53	0.05	2.95	0.05	2.28	0.05	1.91	0.05
46925.49	7.11	0.05	4.60	0.05	3.00	0.05	2.32	0.05	n	n
46926.50	7.11	0.05	4.59	0.05	2.99	0.05	2.31	0.05	n	n
46929.49	7.10	0.05	4.58	0.05	2.98	0.05	2.30	0.05	n	n
46930.29	7.04	0.05	4.53	0.05	2.96	0.05	2.27	0.05	1.92	0.05
46930.48	7.09	0.05	4.57	0.05	2.98	0.05	2.29	0.05	n	n
46931.53	7.09	0.05	4.58	0.05	2.98	0.05	2.29	0.05	n	n
46932.22	7.06	0.05	4.53	0.05	2.96	0.05	2.28	0.05	1.93	0.05
46934.21	7.06	0.05	4.55	0.05	2.97	0.05	2.29	0.05	1.91	0.05
46935.22	7.04	0.05	4.54	0.05	2.96	0.05	2.29	0.05	1.91	0.05
46935.53	7.12	0.05	4.58	0.05	2.97	0.05	2.30	0.05	n	n
46936.21	7.06	0.05	4.54	0.05	2.97	0.05	2.28	0.05	1.91	0.05
46936.47	7.10	0.05	4.57	0.05	2.98	0.05	2.27	0.05	n	n
46937.49	7.07	0.05	4.58	0.05	2.98	0.05	2.28	0.05	n	n
46939.49	7.11	0.05	4.60	0.05	3.00	0.05	2.28	0.05	n	n
46941.21	7.06	0.05	4.54	0.05	2.98	0.05	2.30	0.05	1.93	0.05
46942.22	7.08	0.05	4.57	0.05	2.98	0.05	2.30	0.05	1.92	0.05
46943.19	7.12	0.05	4.61	0.05	3.02	0.05	2.31	0.05	1.92	0.05
46943.47	7.14	0.05	4.66	0.05	3.03	0.05	2.33	0.05	n	n
46945.47	7.20	0.05	4.69	0.05	3.06	0.05	2.34	0.05	n	n
46947.21	7.20	0.05	4.70	0.05	3.11	0.05	2.39	0.05	1.96	0.05
46948.48	7.28	0.05	4.78	0.05	3.15	0.05	2.40	0.05	n	n
46949.20	7.27	0.05	4.78	0.05	3.15	0.05	2.43	0.05	2.01	0.05
46951.46	7.38	0.05	4.90	0.05	3.24	0.05	2.48	0.05	n	n
46952.19	7.40	0.05	4.91	0.05	3.27	0.05	2.50	0.05	2.06	0.05
46952.45	7.49	0.05	4.97	0.05	3.29	0.05	2.50	0.05	n	n
46953.51	7.47	0.05	5.00	0.05	3.32	0.05	2.52	0.05	n	n
46954.19	7.51	0.05	5.01	0.05	3.35	0.05	2.55	0.05	2.13	0.05
46954.49	7.61	0.05	5.11	0.05	3.39	0.05	2.57	0.05	n	n
46955.20	7.58	0.05	5.07	0.05	3.40	0.05	2.59	0.05	2.17	0.05
46956.47	7.65	0.05	5.17	0.05	3.48	0.05	2.65	0.05	n	n
46957.47	7.72	0.05	5.24	0.05	3.53	0.05	2.69	0.05	n	n
46958.46	7.78	0.05	5.30	0.05	3.58	0.05	2.74	0.05	n	n
46959.20	7.81	0.05	5.28	0.05	3.59	0.05	2.77	0.05	2.32	0.05
46959.47	7.86	0.05	5.35	0.05	3.66	0.05	2.79	0.05	n	n
46960.49	7.93	0.05	5.43	0.05	3.71	0.05	2.83	0.05	n	n
46961.19	7.96	0.05	5.43	0.05	3.75	0.05	2.85	0.05	2.42	0.05
46961.48	7.99	0.05	5.49	0.05	3.78	0.05	2.88	0.05	n	n
46962.19	7.98	0.05	5.49	0.05	3.78	0.05	2.94	0.05	2.50	0.05
46963.48	8.11	0.05	5.63	0.05	3.91	0.05	3.01	0.05	n	n
46964.46	8.19	0.05	5.68	0.05	3.97	0.05	3.05	0.05	n	n
46965.21	8.21	0.05	5.67	0.05	3.97	0.05	3.06	0.05	2.57	0.05
46965.46	8.28	0.05	5.74	0.05	4.03	0.05	3.10	0.05	n	n
46965.67	8.23	0.05	5.71	0.05	4.01	0.05	3.11	0.05	2.64	0.05
46966.20	8.26	0.05	5.73	0.05	4.04	0.05	3.14	0.05	2.68	0.05
46966.48	8.32	0.05	5.81	0.05	4.08	0.05	3.14	0.05	n	n
46967.20	8.33	0.05	5.79	0.05	4.08	0.05	3.18	0.05	2.70	0.05
46967.47	8.37	0.05	5.85	0.05	4.12	0.05	3.18	0.05	n	n
46968.19	8.39	0.05	5.83	0.05	4.14	0.05	3.22	0.05	2.74	0.05
46968.47	8.48	0.05	5.90	0.05	4.17	0.05	3.23	0.05	n	n
46969.47	8.50	0.05	5.94	0.05	4.22	0.05	3.27	0.05	n	n
46970.67	8.54	0.05	5.91	0.05	4.21	0.05	3.31	0.05	2.81	0.05
46971.48	8.58	0.05	6.00	0.05	4.27	0.05	3.32	0.05	n	n
46972.21	8.53	0.05	5.94	0.05	4.26	0.05	3.33	0.05	2.84	0.05
46972.47	8.58	0.05	6.02	0.05	4.30	0.05	3.33	0.05	n	n
46973.47	8.67	0.05	6.03	0.05	4.31	0.05	3.35	0.05	n	n
46975.48	8.65	0.05	6.09	0.05	4.35	0.05	3.38	0.05	n	n
46975.67	8.63	0.05	6.01	0.05	4.31	0.05	3.38	0.05	2.86	0.05
46978.19	8.64	0.05	6.05	0.05	4.36	0.05	3.41	0.05	2.91	0.05
46978.49	8.72	0.05	6.11	0.05	4.40	0.05	3.41	0.05	n	n
46979.46	8.68	0.05	6.12	0.05	4.41	0.05	3.43	0.05	n	n
46980.21	8.65	0.05	6.07	0.05	4.36	0.05	3.42	0.05	2.92	0.05
46980.47	8.74	0.05	6.14	0.05	4.44	0.05	3.44	0.05	n	n
46981.20	8.65	0.05	6.08	0.05	4.40	0.05	3.44	0.05	2.95	0.05
46981.47	8.68	0.05	6.15	0.05	4.43	0.05	3.44	0.05	n	n
46981.92	8.74	0.05	6.13	0.05	4.43	0.05	3.46	0.05	n	n
46982.21	8.67	0.05	6.09	0.05	4.40	0.05	3.46	0.05	2.95	0.05
46983.20	8.63	0.05	6.09	0.05	4.40	0.05	3.45	0.05	2.96	0.05
46984.67	8.71	0.05	6.11	0.05	4.42	0.05	3.48	0.05	2.98	0.05
46985.68	8.70	0.05	6.11	0.05	4.44	0.05	3.49	0.05	2.99	0.05
46986.69	8.70	0.05	6.12	0.05	4.45	0.05	3.50	0.05	2.99	0.05
46989.66	8.66	0.05	6.12	0.05	4.45	0.05	3.50	0.05	3.02	0.05
46990.60	8.69	0.05	6.15	0.05	4.49	0.05	3.53	0.05	3.02	0.05
46991.68	8.69	0.05	6.17	0.05	4.51	0.05	3.54	0.05	3.03	0.05
46997.68	8.72	0.05	6.23	0.05	4.56	0.05	3.60	0.05	3.10	0.05
46998.66	8.71	0.05	6.23	0.05	4.58	0.05	3.61	0.05	3.10	0.05
46999.66	8.70	0.05	6.24	0.05	4.59	0.05	3.61	0.05	3.11	0.05
47000.60	8.72	0.05	6.25	0.05	4.60	0.05	3.62	0.05	3.11	0.05
